hi, 79.47, 86.80
it, 78.38, 82.15
ur, 78.38, 83.55
pl, 76.18, 84.41
ja, 75.74, 85.60
no, 73.25, 78.91
bg, 73.40, 82.36
el, 72.55, 78.52
ca, 72.06, 79.70
sv, 71.10, 77.36
fr, 71.36, 77.02
pt, 70.73, 76.95
ru, 69.70, 73.85
da, 68.12, 74.18
id, 67.05, 72.21
en, 67.18, 74.39
es, 66.93, 74.52
uk, 65.85, 74.19
ro, 65.13, 72.53
ga, 65.13, 74.02
fa, 65.22, 73.42
he, 64.68, 72.34
et, 64.76, 75.40
ar, 64.28, 71.65
sl, 63.47, 71.78
hr, 63.58, 72.10
cs, 63.84, 72.45
lv, 62.30, 69.83
hu, 62.73, 68.86
fi, 62.77, 70.83
zh, 59.91, 65.15
vi, 59.77, 62.68
eu, 58.80, 68.78
nl, 57.44, 68.43
ko, 53.12, 63.21
tr, 47.28, 55.20
